Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 11250058
timing: 10623609
timing: 11874795
timing: 11249320
timing: 11249305
timing: 11249630
timing: 9999379
timing: 11249522
timing: 12499369
timing: 12499393
timing: 11249423
timing: 13749610
timing: 12499566
timing: 12499197
timing: 13749355
timing: 15631215
timing: 13742972
timing: 10621445
timing: 11871939
timing: 11874203
timing: 13124576
timing: 10624400
timing: 10624356
timing: 12499586
timing: 12499863
timing: 11248980
timing: 9999462
timing: 9374769
timing: 14999166
timing: 13124386
timing: 11249581
timing: 12499342
timing: 11886390
timing: 11237476
timing: 10624387
timing: 9374520
timing: 11249532
timing: 8749427
timing: 11874397
timing: 9999396
timing: 11874392
timing: 8124467
timing: 13124609
timing: 14374544
timing: 9999210
timing: 14999365
timing: 13124641
timing: 10624392
timing: 11874363
timing: 12499486
timing: 14374239
timing: 13124515
timing: 12499547
timing: 11249433
timing: 9999395
timing: 11872005
timing: 13124656
timing: 9374282
timing: 10624342
timing: 13749557
timing: 14374534
timing: 11874443
timing: 16249602
timing: 14374162
timing: 10624367
timing: 8124600
timing: 9999308
timing: 13124508
timing: 14374254
timing: 13124491
timing: 9374382
timing: 17499396
timing: 11249573
timing: 11874564
timing: 12499359
timing: 9996934
timing: 13749471
timing: 14374476
timing: 12499330
timing: 12499531
timing: 13749368
timing: 15000010
timing: 9373882
timing: 13749550
timing: 12499315
timing: 12499586
timing: 10624518
timing: 13121923
timing: 12499405
timing: 8749313
timing: 9374725
timing: 14374320
timing: 9999419
timing: 13124450
timing: 11246763
timing: 10624954
timing: 9371642
timing: 11874435
timing: 11249361
timing: 13124509
timing: 14999529
timing: 9374150
timing: 11249596
timing: 9999568
timing: 13749274
timing: 13124410
timing: 7499661
timing: 13749273
timing: 8749731
timing: 15624196
timing: 12499503
timing: 13749234
timing: 11249678
timing: 12499469
timing: 14999494
timing: 8124267
timing: 9999513
timing: 11874330
timing: 11874310
timing: 11874671
timing: 8749449
timing: 14372002
timing: 9999371
timing: 9999313
timing: 8124724
timing: 12499258
timing: 14374491
timing: 12499398
timing: 12499446
timing: 12499387
timing: 9374447
timing: 12499725
timing: 12499028
timing: 14374611
timing: 13122321
timing: 9999083
timing: 9999975
timing: 11248965
timing: 11249311
timing: 10624614
timing: 14999329
timing: 8749406
timing: 11874591
timing: 14374448
timing: 13124351
timing: 14374368
timing: 13749463
timing: 10624490
timing: 9372815
timing: 11876863
timing: 13119483
timing: 9997048
timing: 12496824
timing: 13124487
timing: 13124306
timing: 9999477
timing: 11874890
timing: 12499085
timing: 12499473
timing: 9374520
timing: 12499297
timing: 12499528
timing: 13749233
timing: 11249592
timing: 14374332
timing: 10624432
timing: 10624857
timing: 11874075
timing: 15624679
timing: 10624192
timing: 13124529
timing: 8749896
timing: 12498936
timing: 13749501
timing: 11249481
timing: 13124377
timing: 8749395
timing: 11249305
timing: 12499532
timing: 10624557
timing: 16249449
timing: 12499510
timing: 13124415
timing: 12499464
timing: 15624726
timing: 9998964
timing: 16874378
timing: 11249356
timing: 11249368
timing: 10624452
timing: 12499405
timing: 12499763
timing: 10624298
timing: 11249167
timing: 14374428
timing: 11249614
timing: 10624248
timing: 13749547
timing: 11874307
timing: 8749489
timing: 14374463
timing: 15624421
